"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 11- 08","811.02","821.98","831.45","810.15","884.42M","-1.62%"
"2023- 11- 07","824.37","842.16","847.37","805.81","928.09M","-1.80%"
"2023- 11- 06","839.45","794.49","839.45","793.72","849.33M","7.34%"
"2023- 11- 03","782.05","779.28","782.53","768.38","810.11M","1.19%"
"2023- 11- 02","772.84","753.37","773.39","753.37","794.26M","4.55%"
"2023- 11- 01","739.23","742.98","749.65","737.52","753.92M","0.43%"
"2023- 10- 31","736.10","758.65","759.24","734.20","868.12M","-2.78%"
"2023- 10- 30","757.12","747.24","760.87","744.63","648.82M","1.15%"
"2023- 10- 27","748.49","749.87","760.51","738.92","665.63M","0.62%"
"2023- 10- 26","743.85","751.64","756.43","740.51","839.57M","-3.50%"
"2023- 10- 25","770.84","788.01","788.01","770.84","1.02B","-1.79%"
"2023- 10- 24","784.86","771.03","784.86","750.32","951.76M","2.77%"
"2023- 10- 23","763.69","766.56","774.36","762.51","762.34M","-0.72%"
"2023- 10- 20","769.25","775.81","779.92","759.40","980.56M","-1.89%"
"2023- 10- 19","784.04","796.15","796.36","782.63","878.33M","-3.07%"
"2023- 10- 18","808.89","816.92","820.09","807.45","864.01M","-1.40%"
"2023- 10- 17","820.38","817.47","825.33","817.29","948.11M","1.21%"
"2023- 10- 16","810.54","812.57","813.19","800.62","1.05B","-1.49%"
"2023- 10- 13","822.78","831.21","834.66","817.66","1.06B","-1.52%"
"2023- 10- 12","835.49","822.27","835.79","822.27","1.04B","2.25%"
"2023- 10- 11","817.12","805.03","821.83","805.03","856.19M","2.78%"
"2023- 10- 10","795.00","821.22","823.27","792.91","978.04M","-2.62%"
"2023- 10- 06","816.39","803.88","818.37","803.88","776.64M","1.92%"
"2023- 10- 05","801.02","817.89","820.06","800.36","874.56M","-0.79%"
"2023- 10- 04","807.40","832.30","832.30","806.47","816.99M","-4.00%"
"2023- 09- 27","841.02","823.20","841.97","821.71","844.48M","1.59%"
