"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 12- 14","840.59","841.75","845.54","834.66","1.04B","1.36%"
"2023- 12- 13","829.31","837.55","838.25","828.72","1.07B","-1.22%"
"2023- 12- 12","839.53","835.41","842.56","833.67","1.22B","0.51%"
"2023- 12- 11","835.25","831.83","839.15","831.64","930.37M","0.59%"
"2023- 12- 08","830.37","818.71","830.99","818.50","862.26M","2.11%"
"2023- 12- 07","813.20","820.46","820.46","810.90","794.86M","-0.77%"
"2023- 12- 06","819.54","816.66","822.39","814.00","882.76M","0.76%"
"2023- 12- 05","813.38","823.86","828.25","810.52","1.06B","-1.83%"
"2023- 12- 04","828.52","828.66","837.95","823.99","1.01B","0.15%"
"2023- 12- 01","827.24","826.30","831.03","822.03","997.87M","-0.53%"
"2023- 11- 30","831.68","819.23","831.68","819.23","774.89M","1.12%"
"2023- 11- 29","822.44","817.90","823.81","812.95","916.37M","0.73%"
"2023- 11- 28","816.44","811.76","816.62","811.06","933.90M","0.76%"
"2023- 11- 27","810.25","816.55","816.60","809.26","794.00M","-0.58%"
"2023- 11- 24","815.00","817.02","818.74","814.22","741.07M","-0.12%"
"2023- 11- 23","815.98","816.16","819.91","813.25","909.85M","0.17%"
"2023- 11- 22","814.61","811.20","817.28","809.83","842.43M","-0.29%"
"2023- 11- 21","817.01","816.34","819.14","811.24","897.45M","0.48%"
"2023- 11- 20","813.08","797.83","815.27","797.51","786.86M","1.75%"
"2023- 11- 17","799.06","807.61","807.62","795.66","804.59M","-1.49%"
"2023- 11- 16","811.11","809.12","815.82","804.74","905.41M","0.22%"
"2023- 11- 15","809.36","808.68","813.06","805.27","816.59M","1.91%"
"2023- 11- 14","794.19","779.47","794.91","779.47","841.49M","2.55%"
"2023- 11- 13","774.42","796.41","798.15","774.33","998.05M","-1.89%"
"2023- 11- 10","789.31","792.86","794.73","785.45","863.20M","-1.69%"
"2023- 11- 09","802.87","813.89","814.92","797.44","921.92M","-1.00%"
